"League","Squad","CountOfID","MinOfSeason","MaxOfSeason"
"UEFA","Lyon",2,"2018-2019","2019-2020"
"UEFA","Lille",2,"2019-2020","2021-2022"
"UEFA","CSKA Moscow",2,"2017-2018","2018-2019"
"UEFA","Beşiktaş",2,"2017-2018","2021-2022"
"UEFA","Galatasaray",2,"2018-2019","2019-2020"
"UEFA","Dynamo Kyiv",2,"2020-2021","2021-2022"
"UEFA","Başakşehir",1,"2020-2021","2020-2021"
"UEFA","Schalke 04",1,"2018-2019","2018-2019"
"UEFA","Basel",1,"2017-2018","2017-2018"
"UEFA","Sheriff Tiraspol",1,"2021-2022","2021-2022"
"UEFA","Rennes",1,"2020-2021","2020-2021"
"UEFA","Spartak Moscow",1,"2017-2018","2017-2018"
"UEFA","APOEL FC",1,"2017-2018","2017-2018"
"UEFA","Anderlecht",1,"2017-2018","2017-2018"
"UEFA","Viktoria Plzeň",1,"2018-2019","2018-2019"
"UEFA","Villarreal",1,"2021-2022","2021-2022"
"UEFA","Wolfsburg",1,"2021-2022","2021-2022"
"UEFA","AEK Athens",1,"2018-2019","2018-2019"
"UEFA","Slavia Prague",1,"2019-2020","2019-2020"
"UEFA","NK Maribor",1,"2017-2018","2017-2018"
"UEFA","Malmö",1,"2021-2022","2021-2022"
"UEFA","Leverkusen",1,"2019-2020","2019-2020"
"UEFA","Marseille",1,"2020-2021","2020-2021"
"UEFA","M'Gladbach",1,"2020-2021","2020-2021"
"UEFA","Midtjylland",1,"2020-2021","2020-2021"
"UEFA","Milan",1,"2021-2022","2021-2022"
"UEFA","Dinamo Zagreb",1,"2019-2020","2019-2020"
"UEFA","Krasnodar",1,"2020-2021","2020-2021"
"UEFA","Celtic",1,"2017-2018","2017-2018"
"UEFA","Hoffenheim",1,"2018-2019","2018-2019"
"UEFA","Genk",1,"2019-2020","2019-2020"
"UEFA","PSV Eindhoven",1,"2018-2019","2018-2019"
"UEFA","Qarabağ FK",1,"2017-2018","2017-2018"
"UEFA","Feyenoord",1,"2017-2018","2017-2018"
"UEFA","Ferencváros",1,"2020-2021","2020-2021"
"UEFA","Lazio",1,"2020-2021","2020-2021"
